"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","BO_bathymax","BO_calcite","BO_chlomean","BO_ph","BO2_ppmean_bdmin","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_bathy_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","Dist_City","Protected_Areas","bioclim_pred","domain_pred","maxent_pred","maxnet_pred","glm_pred","glm_fav","gam_pred","gam_fav","rf_pred","rf_fav","gbm_pred","gbm_fav","foldIDr"
1,177.291666666667,-18.125,2368,34.5768203735352,2.60707020759583,2.71043729782104,0.103367164731026,0.204942584037781,42,0.000104999999166466,0.119000002741814,8.27200031280518,0.00239436514675617,0.920000016689301,-0.409999996423721,-486,5,-0.740000009536743,123468.119470837,0,0,0.159762663443578,0.181421786546707,0.0624124344028385,0.00572521646753599,0.538100134433529,2.22044604925031e-16,4.4923129543778e-14,0.652,0.997368777110112,0.0079582606581991,0.618756861864664,5
1,177.208333333333,-17.125,1791,35.2770080566406,24.9437637329102,27.1307792663574,2.18701577186584,0.200087800621986,273,0.000224999996135011,0.225999996066093,8.27299976348877,0.00229213619604707,0.0299999993294477,-0.150000005960464,-8,3,-0.0599999986588955,172762.036045295,0,0.105263157894737,0.414476821524484,0.233920410275459,0.0590223326971917,0.0167228349028099,0.774817074944338,1,1,0.628,0.99708066581306,0.0420400634632954,0.898771354086213,5
1,178.375,-19.0416666666667,2909,35.6403198242188,21.4737644195557,23.583028793335,2.10926389694214,0.218026608228683,330,0.013154000043869,0.986999988555908,8.27099990844727,0.00180345599073917,0.129999995231628,-0.0500000007450581,-37,2,-0.769999980926514,101843.838954251,0,0,0.581800888877244,0.990596234798431,0.99990475784484,0.112170139442413,0.962350769205623,2.22044604925031e-16,4.4923129543778e-14,0.686,0.997742673906052,0.329033089962916,0.990021247205227,2
1,177.208333333333,-17.2083333333333,1839,35.432804107666,24.9399433135986,27.1107406616211,2.17079639434814,0.202055856585503,22,0.000432000000728294,0.268999993801117,8.27299976348877,0.00234399875625968,0.0299999993294477,0.439999997615814,-19,6,-0.349999994039536,166980.050126833,0.530843915756435,0.105263157894737,0.414476821524484,0.603267431259155,0.330682792462473,0.0404929767969012,0.895157335394613,1,1,0.638,0.997203326082095,0.0213397135602854,0.815208392445889,5
1,178.375,-18.125,2381,34.6644554138184,9.84658432006836,11.1344327926636,1.28784811496735,0.160458326339722,238,0.000295000005280599,0.416000008583069,8.27000045776367,0.00207528262399137,0.340000003576279,0.0900000035762787,-83,2,-0.529999971389771,8819.06265810803,0,0.315789473684211,0.552214555277563,0.538379609584808,0.462980834060695,0.0657980307126118,0.934424399703491,2.22044604925031e-16,4.4923129543778e-14,0.572,0.996315193257511,0.00802280040125688,0.620675698833033,3
1,178.708333333333,-17.9583333333333,2289,35.1572380065918,24.6343727111816,29.0339660644531,4.3995943069458,0.318972021341324,1,0.00372899998910725,1.2059999704361,8.27000045776367,0.00198522652499378,0.0299999993294477,0.239999994635582,-15,6,0.170000001788139,32263.786755022,4.01042120848327,0,0.507960778932813,0.902546465396881,0.993357368061477,0.218660778202166,0.982644568485994,2.22044604925031e-16,4.4923129543778e-14,0.634,0.997154722693889,0.253615881342384,0.985662143045534,2
1,178.708333333333,-18.0416666666667,2337,35.4763069152832,14.9884996414185,16.4960021972656,1.50750350952148,0.159262642264366,19,0.0378130003809929,0.523000001907349,8.27000045776367,0.00198366772383451,0.109999999403954,0.639999985694885,-28,3,-0.209999993443489,28025.1767088793,1.91859129950393,0,0.214483313143405,0.91696834564209,0.918058375071877,0.18837913233795,0.979148410915524,2.22044604925031e-16,4.4923129543778e-14,0.66,0.997460192647926,0.0327055675062292,0.872458377416287,5
1,178.791666666667,-17.9583333333333,2290,34.3825187683105,5.66441059112549,6.0694580078125,0.405047684907913,0.121285475790501,-11,0.000148000006447546,0.184000000357628,8.26900005340576,0.0018240949138999,0.449999988079071,0.889999985694885,-355,12,-0.209999993443489,39823.5241872112,0.987577991196871,0.0526315789473684,0.330143540669857,0.213311150670052,0.149308127875654,0.0251516469245759,0.839224766700846,2.22044604925031e-16,4.4923129543778e-14,0.658,0.997437545596151,0.00177777349201769,0.264874637419166,1
1,178.291666666667,-18.125,2380,35.1148300170898,24.6333408355713,29.2264003753662,4.59305953979492,0.254657447338104,325,0.00126900000032037,0.492000013589859,8.27099990844727,0.00218189554288983,0.0299999993294477,0.340000003576279,-10,1,-0.740000009536743,17638.2249954912,0,0.0526315789473684,0.576999413240594,0.933676898479462,0.990492072612864,0.138320191872834,0.97012831400289,2.22044604925031e-16,4.4923129543778e-14,0.712,0.998004667444574,0.229932530184478,0.983715733585068,4
1,179.791666666667,-16.2083333333333,1294,35.1509895324707,25.6304092407227,29.7528171539307,4.12240648269653,0.300475180149078,70,0.0103099998086691,1.99199998378754,8.26500034332275,0.00115531857591122,0.0900000035762787,-0.0299999993294477,-19,2,0.0500000007450581,255176.758330805,5,0,0.391069774831826,0.981289744377136,0.999999999985641,0.55634613121485,0.996073903367743,2.22044604925031e-16,4.4923129543778e-14,0.846,0.999101061460238,0.603562942026811,0.996763957435658,4
1,179.625,-16.2083333333333,1292,35.1409339904785,25.674352645874,29.7566204071045,4.08226823806763,0.278789907693863,94,0.00556100020185113,1.21300005912781,8.26500034332275,0.00124363112263381,0.0199999995529652,-0.0500000007450581,-7,2,0.170000001788139,245763.047310075,4.03243001200508,0,0.55103152487016,0.982836961746216,0.999999999933582,0.344159139039275,0.990668792037549,2.22044604925031e-16,4.4923129543778e-14,0.758,0.998424452173317,0.526097757187527,0.995567352641655,3
1,179.625,-16.125,1244,34.4134330749512,4.8055944442749,5.22493553161621,0.419340968132019,0.226030379533768,-2,0.00874700024724007,0.885999977588654,8.26500034332275,0.00119375914800912,0.400000005960464,0.140000000596046,-124,7,0.610000014305115,253778.252339574,2.06619646771203,0,0.422661113669801,0.982336580753326,0.999999999996909,0.214199689179122,0.982190194521756,2.22044604925031e-16,4.4923129543778e-14,0.744,0.998302150237364,0.696902179676629,0.997854894757184,1
1,179.708333333333,-16.125,1245,34.4725036621094,3.84780836105347,4.24785423278809,0.400045692920685,0.147383734583855,-2,0.0105680003762245,0.499000012874603,8.26500034332275,0.00114975695032626,0.540000021457672,0.0599999986588955,-244,9,0.889999985694885,258231.788622926,2.56197436974813,0,0.394191124047577,0.523656249046326,0.760837848596007,0.0436347973414456,0.902255858740234,2.22044604925031e-16,4.4923129543778e-14,0.686,0.997742673906052,0.0622306993977741,0.930679498130161,3
1,179.708333333333,-16.2083333333333,1293,35.1198348999023,25.6748008728027,29.804931640625,4.13012981414795,0.292560756206512,232,0.00766400014981627,1.73399996757507,8.26500034332275,0.00119783950503916,0.0299999993294477,0.00999999977648258,-8,2,-0.270000010728836,250357.207607038,5,0,0.39825731623939,0.99548065662384,1,0.576738628111576,0.996385674249428,2.22044604925031e-16,4.4923129543778e-14,0.868,0.999248899404031,0.517600989441955,0.995414512639309,4
1,179.375,-16.2916666666667,1337,35.3039398193359,25.6172580718994,29.3019866943359,3.68472719192505,0.21249170601368,21,0.0212730001658201,1.77300000190735,8.26599979400635,0.00134138111025095,0.0299999993294477,-0.0700000002980232,-10,5,0.180000007152557,225107.64736646,3.62084822571468,0.105263157894737,0.495686621703972,0.96733820438385,0.999999485882845,0.165178220587925,0.975627764801461,1,1,0.742,0.998284304289239,0.450302307255171,0.994002401386336,1
1,179.208333333333,-16.375,1383,35.7372055053711,23.4899101257324,25.8651123046875,2.37520217895508,0.243528574705124,62,0.0103869996964931,1.37300002574921,8.26599979400635,0.00150904909241945,0.0199999995529652,-0.109999999403954,-13,2,0.319999992847443,209454.309688426,4,0.210526315789474,0.555249922123839,0.978333950042725,0.9999998307725,0.204143629432742,0.981094851893242,2.22044604925031e-16,4.4923129543778e-14,0.712,0.998004667444574,0.833696231422758,0.999014999426709,2
1,179.291666666667,-16.2916666666667,1336,35.6567687988281,18.7564296722412,20.6752376556396,1.91880691051483,0.224179551005363,-2,0.0132099995389581,0.958000004291534,8.26599979400635,0.00136991566978395,0.170000001788139,-0.0199999995529652,-62,8,0.370000004768372,221412.906986129,2.05278077631073,0.210526315789474,0.636363636363636,0.94534707069397,0.999998161581925,0.094369652973842,0.954714183192383,1,1,0.83,0.998988649706458,0.465570926416279,0.994358204919031,4
