"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","year","month","day","eventDate","lastInterpreted","references","license","institutionKey","isInCluster","geodeticDatum","class","countryCode","country","identifier","catalogNumber","vernacularName","otherCatalogNumbers","dataGeneralizations","institutionCode","taxonConceptID","locality","gbifID","collectionCode","occurrenceID","identifiedBy","coordinateUncertaintyInMeters","stateProvince","eventID","recordedBy","locationRemarks","projectId","programmeAcronym","individualCount","samplingEffort","samplingProtocol","datasetID","language","modified","collectionKey","preparations","higherGeography","dateIdentified","depth","depthAccuracy","habitat","institutionID","dynamicProperties","county","identificationVerificationStatus","eventRemarks","type","locationAccordingTo","eventTime","identificationRemarks","recordNumber","georeferencedDate","verbatimEventDate","nomenclaturalCode","georeferencedBy","georeferenceProtocol","georeferenceVerificationStatus","verbatimCoordinateSystem","verbatimLocality","organismID","previousIdentifications","identificationQualifier","accessRights","higherClassification","collectionID","georeferenceSources","coordinatePrecision","continent","organismQuantity","organismQuantityType","rightsHolder","http://rs.tdwg.org/dwc/terms/organismQuantity","disposition","http://rs.tdwg.org/dwc/terms/organismQuantityType","bibliographicCitation","island","islandGroup","originalNameUsage","lifeStage","fieldNumber","geologicalContextID","informationWithheld","endDayOfYear","datasetName","locationID","startDayOfYear","ownerInstitutionCode","occurrenceRemarks","waterBody","georeferenceRemarks","higherGeographyID","earliestAgeOrLowestStage","associatedReferences","namePublishedInYear","taxonID","lithostratigraphicTerms","verbatimTaxonRank","footprintWKT","nameAccordingTo","name"
"1085897711","Anadara antiquata (Linnaeus, 1758)",-2.665133,150.733467,"cdround,colmano,inmafu","793c3890-6c8a-11de-8226-b8a03c50a862","8cdd9232-84eb-4bad-9d9b-a36910cd524b","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-10T00:17:28.162+00:00","2021-05-10T00:20:30.016+00:00",206,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","PRESERVED_SPECIMEN","PRESENT",5729468,1,52,137,9574493,3483,2286218,5729468,5729468,"Anadara antiquata (Linnaeus, 1758)","Animalia","Mollusca","Arcida","Arcidae","Anadara","Anadara antiquata","Anadara","antiquata","SPECIES","ACCEPTED",2012,3,18,"2012-03-18T00:00:00","2021-05-10T00:20:30.016+00:00","https://biocache.ala.org.au/occurrences/1a327f59-9012-4b12-b806-d1fad1e9b3d3","http://creativecommons.org/licenses/by/4.0/legalcode","c0f3ae0e-60d2-4671-a35f-40c754780c9f",FALSE,"WGS84","Bivalvia","PG","Papua New Guinea","1a327f59-9012-4b12-b806-d1fad1e9b3d3","P049138","Antique Ark","urn:lsid:ozcam.taxonomy.org.au:MAGNT:Mollusc:P049138","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | Mollusca | <not-supplied> | <not-supplied> | Arcidae | Anadara | Anadara antiquata]]","MAGNT","urn:lsid:biodiversity.org.au:afd.taxon:7759ac9d-bb42-4183-923e-e22c7ce0c2f3","NW. end of Lissenung Island, Tigak Islands, Bismarck Archipelago, NW. of New Ireland, NE. Papua New Guinea.","1085897711","Mollusc","1a327f59-9012-4b12-b806-d1fad1e9b3d3","R.C. Willan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anadara antiquata (Linnaeus, 1758)"
"1085896578","Anadara antiquata (Linnaeus, 1758)",-2.660117,150.683767,"cdround,colmano,inmafu","793c3890-6c8a-11de-8226-b8a03c50a862","8cdd9232-84eb-4bad-9d9b-a36910cd524b","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-10T00:17:28.162+00:00","2021-05-10T00:20:33.120+00:00",206,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","PRESERVED_SPECIMEN","PRESENT",5729468,1,52,137,9574493,3483,2286218,5729468,5729468,"Anadara antiquata (Linnaeus, 1758)","Animalia","Mollusca","Arcida","Arcidae","Anadara","Anadara antiquata","Anadara","antiquata","SPECIES","ACCEPTED",2011,3,1,"2011-03-01T00:00:00","2021-05-10T00:20:33.120+00:00","https://biocache.ala.org.au/occurrences/2e896761-fa7c-4a38-9185-886ddb1804f0","http://creativecommons.org/licenses/by/4.0/legalcode","c0f3ae0e-60d2-4671-a35f-40c754780c9f",FALSE,"WGS84","Bivalvia","PG","Papua New Guinea","2e896761-fa7c-4a38-9185-886ddb1804f0","P047673","Antique Ark","urn:lsid:ozcam.taxonomy.org.au:MAGNT:Mollusc:P047673","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | Mollusca | <not-supplied> | <not-supplied> | Arcidae | Anadara | Anadara antiquata]]","MAGNT","urn:lsid:biodiversity.org.au:afd.taxon:7759ac9d-bb42-4183-923e-e22c7ce0c2f3","Kulik Island, west of Lissenung Island, Tigak Islands, Bismarck Archipelago, NW. of New Ireland, NE. Papua New Guinea.","1085896578","Mollusc","2e896761-fa7c-4a38-9185-886ddb1804f0","R.C. Willan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anadara antiquata (Linnaeus, 1758)"
"1101132370","Anadara antiquata (Linnaeus, 1758)",-17.78799,146.10175,"incomis,inmafu","dce8feb0-6c89-11de-8225-b8a03c50a862","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-10T00:17:33.466+00:00","2021-05-10T00:38:52.492+00:00",211,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","PRESERVED_SPECIMEN","PRESENT",5729468,1,52,137,9574493,3483,2286218,5729468,5729468,"Anadara antiquata (Linnaeus, 1758)","Animalia","Mollusca","Arcida","Arcidae","Anadara","Anadara antiquata","Anadara","antiquata","SPECIES","ACCEPTED",2010,8,7,"2010-08-07T00:00:00","2021-05-10T00:38:52.492+00:00","https://biocache.ala.org.au/occurrences/f4ce38d9-286c-46a8-9cdb-da6f20ef751a","http://creativecommons.org/licenses/by/4.0/legalcode","9cfe8cbf-35ff-4d93-b932-cb05d91b7922",FALSE,"WGS84","Bivalvia","AU","Australia","f4ce38d9-286c-46a8-9cdb-da6f20ef751a","C.469124","Antique Ark","urn:lsid:ozcam.taxonomy.org.au:AM:Malacology:C.469124","Identification aligned to national taxonomy. Originally supplied as [[ <not-supplied> | Mollusca | Bivalvia | <not-supplied> | Arcidae | Anadara | Anadara antiquata (Linnaeus, 1758)]]","AM","urn:lsid:biodiversity.org.au:afd.taxon:7759ac9d-bb42-4183-923e-e22c7ce0c2f3",NA,"1101132370","Malacology","f4ce38d9-286c-46a8-9cdb-da6f20ef751a","I.Loch",10000,"Queensland","urn:australianmuseum.net.au:Events:1139766","I.Loch","ecatalogue.LocCollectionEventLocal: ""[MAL# 72834] Australia, Queensland, Kurrimine Beach, Murdering Point to Big Maria Creek mouth (17° 46' 27"" S, 146° 06' 37"" E) 07/08/2010 - 11/08/2010, I.Loch(Collector)"";",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anadara antiquata (Linnaeus, 1758)"
"1101132398","Anadara antiquata (Linnaeus, 1758)",-17.78171,146.1201,"incomis,inmafu","dce8feb0-6c89-11de-8225-b8a03c50a862","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-10T00:17:33.466+00:00","2021-05-10T00:39:20.247+00:00",211,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","PRESERVED_SPECIMEN","PRESENT",5729468,1,52,137,9574493,3483,2286218,5729468,5729468,"Anadara antiquata (Linnaeus, 1758)","Animalia","Mollusca","Arcida","Arcidae","Anadara","Anadara antiquata","Anadara","antiquata","SPECIES","ACCEPTED",2010,8,9,"2010-08-09T00:00:00","2021-05-10T00:39:20.247+00:00","https://biocache.ala.org.au/occurrences/b32e3228-2744-43bc-8248-d2012f2bde5b","http://creativecommons.org/licenses/by/4.0/legalcode","9cfe8cbf-35ff-4d93-b932-cb05d91b7922",FALSE,"WGS84","Bivalvia","AU","Australia","b32e3228-2744-43bc-8248-d2012f2bde5b","C.469123","Antique Ark","urn:lsid:ozcam.taxonomy.org.au:AM:Malacology:C.469123","Identification aligned to national taxonomy. Originally supplied as [[ <not-supplied> | Mollusca | Bivalvia | <not-supplied> | Arcidae | Anadara | Anadara antiquata (Linnaeus, 1758)]]","AM","urn:lsid:biodiversity.org.au:afd.taxon:7759ac9d-bb42-4183-923e-e22c7ce0c2f3",NA,"1101132398","Malacology","b32e3228-2744-43bc-8248-d2012f2bde5b","I.Loch",100,"Queensland","urn:australianmuseum.net.au:Events:1139767","I.Loch","ecatalogue.LocCollectionEventLocal: ""[MAL# 72835] Australia, Queensland, King Reef (17-048), off Kurrimine Beach (17° 46' 54"" S, 146° 07' 12"" E) 09/08/2010 - 11/08/2010, I.Loch(Collector)"";",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anadara antiquata (Linnaeus, 1758)"
"1848475672","Anadara antiquata (Linnaeus, 1758)",-20.972167,164.653567,"osiic,colmano,inmafu","f64810a1-cfa6-440e-8cb1-8241453d3336","e15c40ad-b68e-4759-bab3-0c2ac9079215","6b459ded-20ca-46f2-8323-5f4eed4b9fde","NC","DWC_ARCHIVE","2021-02-26T15:53:05.949+00:00","2021-03-09T11:22:33.498+00:00",117,"cd3512e7-886c-4873-b629-740abe8ae74e","HUMAN_OBSERVATION","PRESENT",5729468,1,52,137,9574493,3483,2286218,5729468,5729468,"Anadara antiquata (Linnaeus, 1758)","Animalia","Mollusca","Arcida","Arcidae","Anadara","Anadara antiquata","Anadara","antiquata","SPECIES","ACCEPTED",2006,3,21,"2006-03-21T00:00:00","2021-03-09T11:22:33.498+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","831cefd7-10b8-4c21-8f04-30e5d3020d7b",FALSE,"WGS84","Bivalvia","NC","New Caledonia","F2EEF93A-E3F4-41FA-BB79-693A2F3A3C43_C2912EE4-2519-4E16-8B5F-4F2F70D3376B",NA,NA,NA,NA,"SPC",NA,NA,"1848475672","PROCFish/C","F2EEF93A-E3F4-41FA-BB79-693A2F3A3C43_C2912EE4-2519-4E16-8B5F-4F2F70D3376B",NA,NA,NA,"F2EEF93A-E3F4-41FA-BB79-693A2F3A3C43","Emmanuel Tardy",NA,"BID-PA2016-0002-REG","BID",1,"Soft benthos transect","http://purl.org/spc/digilib/doc/pfj5w","0068fe3a-4682-4f82-8a5d-31cee816ad6b","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anadara antiquata (Linnaeus, 1758)"
"1847738003","Anadara antiquata (Linnaeus, 1758)",-9.835233,160.84655,"osiic,colmano,inmafu","cf8c1737-4702-4a16-93c9-e3da9ccece7a","e15c40ad-b68e-4759-bab3-0c2ac9079215","6b459ded-20ca-46f2-8323-5f4eed4b9fde","NC","DWC_ARCHIVE","2021-02-26T15:53:09.871+00:00","2021-03-09T11:22:55.816+00:00",121,"cd3512e7-886c-4873-b629-740abe8ae74e","HUMAN_OBSERVATION","PRESENT",5729468,1,52,137,9574493,3483,2286218,5729468,5729468,"Anadara antiquata (Linnaeus, 1758)","Animalia","Mollusca","Arcida","Arcidae","Anadara","Anadara antiquata","Anadara","antiquata","SPECIES","ACCEPTED",2006,6,9,"2006-06-09T00:00:00","2021-03-09T11:22:55.816+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","831cefd7-10b8-4c21-8f04-30e5d3020d7b",FALSE,"WGS84","Bivalvia","SB","Solomon Islands","D292D11C-A12A-49F1-86D2-410A919BC1C1_C2912EE4-2519-4E16-8B5F-4F2F70D3376B",NA,NA,NA,NA,"SPC",NA,NA,"1847738003","PROCFish/C","D292D11C-A12A-49F1-86D2-410A919BC1C1_C2912EE4-2519-4E16-8B5F-4F2F70D3376B",NA,NA,NA,"D292D11C-A12A-49F1-86D2-410A919BC1C1","Emmanuel Tardy",NA,"BID-PA2016-0002-REG","BID",1,"Soft benthos transect","http://purl.org/spc/digilib/doc/pfj5w","7c0229a3-75b1-45e1-ab94-e036aa75f2db","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anadara antiquata (Linnaeus, 1758)"
"1847738009","Anadara antiquata (Linnaeus, 1758)",-9.829017,160.8501,"osiic,colmano,inmafu","cf8c1737-4702-4a16-93c9-e3da9ccece7a","e15c40ad-b68e-4759-bab3-0c2ac9079215","6b459ded-20ca-46f2-8323-5f4eed4b9fde","NC","DWC_ARCHIVE","2021-02-26T15:53:09.871+00:00","2021-03-09T11:22:56.072+00:00",121,"cd3512e7-886c-4873-b629-740abe8ae74e","HUMAN_OBSERVATION","PRESENT",5729468,1,52,137,9574493,3483,2286218,5729468,5729468,"Anadara antiquata (Linnaeus, 1758)","Animalia","Mollusca","Arcida","Arcidae","Anadara","Anadara antiquata","Anadara","antiquata","SPECIES","ACCEPTED",2006,6,8,"2006-06-08T00:00:00","2021-03-09T11:22:56.072+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","831cefd7-10b8-4c21-8f04-30e5d3020d7b",FALSE,"WGS84","Bivalvia","SB","Solomon Islands","70C3D33D-9846-4222-AD22-EAAEC4EF5131_C2912EE4-2519-4E16-8B5F-4F2F70D3376B",NA,NA,NA,NA,"SPC",NA,NA,"1847738009","PROCFish/C","70C3D33D-9846-4222-AD22-EAAEC4EF5131_C2912EE4-2519-4E16-8B5F-4F2F70D3376B",NA,NA,NA,"70C3D33D-9846-4222-AD22-EAAEC4EF5131","Emmanuel Tardy",NA,"BID-PA2016-0002-REG","BID",1,"Soft benthos transect","http://purl.org/spc/digilib/doc/pfj5w","7c0229a3-75b1-45e1-ab94-e036aa75f2db","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anadara antiquata (Linnaeus, 1758)"
"1847750149","Anadara antiquata (Linnaeus, 1758)",-2.485117,150.482783,"osiic,colmano,inmafu","9c30b6b3-177b-49f4-bfeb-91e1da24ecd4","e15c40ad-b68e-4759-bab3-0c2ac9079215","6b459ded-20ca-46f2-8323-5f4eed4b9fde","NC","DWC_ARCHIVE","2021-02-26T15:53:09.910+00:00","2021-03-09T11:22:56.960+00:00",117,"cd3512e7-886c-4873-b629-740abe8ae74e","HUMAN_OBSERVATION","PRESENT",5729468,1,52,137,9574493,3483,2286218,5729468,5729468,"Anadara antiquata (Linnaeus, 1758)","Animalia","Mollusca","Arcida","Arcidae","Anadara","Anadara antiquata","Anadara","antiquata","SPECIES","ACCEPTED",2006,6,16,"2006-06-16T00:00:00","2021-03-09T11:22:56.960+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","831cefd7-10b8-4c21-8f04-30e5d3020d7b",FALSE,"WGS84","Bivalvia","PG","Papua New Guinea","7C51C629-8237-46D9-9DCB-097A8877E75C_C2912EE4-2519-4E16-8B5F-4F2F70D3376B",NA,NA,NA,NA,"SPC",NA,NA,"1847750149","PROCFish/C","7C51C629-8237-46D9-9DCB-097A8877E75C_C2912EE4-2519-4E16-8B5F-4F2F70D3376B",NA,NA,NA,"7C51C629-8237-46D9-9DCB-097A8877E75C","Kim Friedman",NA,"BID-PA2016-0002-REG","BID",1,"Soft benthos transect","http://purl.org/spc/digilib/doc/pfj5w","800940ac-2b2f-4bb1-acda-57aa5b816cd9","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anadara antiquata (Linnaeus, 1758)"
"1847750229","Anadara antiquata (Linnaeus, 1758)",-2.48605,150.483683,"osiic,colmano,inmafu","9c30b6b3-177b-49f4-bfeb-91e1da24ecd4","e15c40ad-b68e-4759-bab3-0c2ac9079215","6b459ded-20ca-46f2-8323-5f4eed4b9fde","NC","DWC_ARCHIVE","2021-02-26T15:53:09.910+00:00","2021-03-09T11:22:56.964+00:00",117,"cd3512e7-886c-4873-b629-740abe8ae74e","HUMAN_OBSERVATION","PRESENT",5729468,1,52,137,9574493,3483,2286218,5729468,5729468,"Anadara antiquata (Linnaeus, 1758)","Animalia","Mollusca","Arcida","Arcidae","Anadara","Anadara antiquata","Anadara","antiquata","SPECIES","ACCEPTED",2006,6,16,"2006-06-16T00:00:00","2021-03-09T11:22:56.964+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","831cefd7-10b8-4c21-8f04-30e5d3020d7b",FALSE,"WGS84","Bivalvia","PG","Papua New Guinea","10BD81D6-B11A-47A2-ADB5-A3595A3963EE_C2912EE4-2519-4E16-8B5F-4F2F70D3376B",NA,NA,NA,NA,"SPC",NA,NA,"1847750229","PROCFish/C","10BD81D6-B11A-47A2-ADB5-A3595A3963EE_C2912EE4-2519-4E16-8B5F-4F2F70D3376B",NA,NA,NA,"10BD81D6-B11A-47A2-ADB5-A3595A3963EE","Kim Friedman",NA,"BID-PA2016-0002-REG","BID",1,"Soft benthos transect","http://purl.org/spc/digilib/doc/pfj5w","800940ac-2b2f-4bb1-acda-57aa5b816cd9","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anadara antiquata (Linnaeus, 1758)"
"1847750277","Anadara antiquata (Linnaeus, 1758)",-2.48605,150.483683,"osiic,colmano,inmafu","9c30b6b3-177b-49f4-bfeb-91e1da24ecd4","e15c40ad-b68e-4759-bab3-0c2ac9079215","6b459ded-20ca-46f2-8323-5f4eed4b9fde","NC","DWC_ARCHIVE","2021-02-26T15:53:09.910+00:00","2021-03-09T11:22:56.589+00:00",117,"cd3512e7-886c-4873-b629-740abe8ae74e","HUMAN_OBSERVATION","PRESENT",5729468,1,52,137,9574493,3483,2286218,5729468,5729468,"Anadara antiquata (Linnaeus, 1758)","Animalia","Mollusca","Arcida","Arcidae","Anadara","Anadara antiquata","Anadara","antiquata","SPECIES","ACCEPTED",2006,6,16,"2006-06-16T00:00:00","2021-03-09T11:22:56.589+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","831cefd7-10b8-4c21-8f04-30e5d3020d7b",FALSE,"WGS84","Bivalvia","PG","Papua New Guinea","955743D0-7059-4DA2-96CB-7C12BBF03D1B_C2912EE4-2519-4E16-8B5F-4F2F70D3376B",NA,NA,NA,NA,"SPC",NA,NA,"1847750277","PROCFish/C","955743D0-7059-4DA2-96CB-7C12BBF03D1B_C2912EE4-2519-4E16-8B5F-4F2F70D3376B",NA,NA,NA,"955743D0-7059-4DA2-96CB-7C12BBF03D1B","Kim Friedman",NA,"BID-PA2016-0002-REG","BID",2,"Soft benthos transect","http://purl.org/spc/digilib/doc/pfj5w","800940ac-2b2f-4bb1-acda-57aa5b816cd9","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anadara antiquata (Linnaeus, 1758)"
