"pointid","grid_code","PRESENCE","Longitude","Latitude"
"1","1","1",177.095064663946,-12.483229751702
"2","1","1",177.125064663946,-12.483229751702
"3","1","1",177.135064663946,-12.493229751702
"4","1","1",177.035064663946,-12.503229751702
"5","1","1",177.045064663946,-12.503229751702
"6","1","1",177.015064663946,-12.513229751702
"7","1","1",177.035064663946,-12.513229751702
"8","1","1",177.045064663946,-12.513229751702
"9","1","1",177.145064663946,-12.513229751702
"10","1","1",177.075064663946,-12.523229751702
"11","1","1",177.085064663946,-12.523229751702
"12","1","1",177.095064663946,-12.523229751702
"13","1","1",177.105064663946,-12.523229751702
"14","1","1",177.125064663946,-12.523229751702
"15","1","1",177.135064663946,-12.523229751702
"16","1","1",177.145064663946,-12.523229751702
"17","1","1",175.855064663946,-15.663229751702
"18","1","1",175.875064663946,-15.663229751702
"19","1","1",175.885064663946,-15.673229751702
"20","1","1",175.885064663946,-15.683229751702
"21","1","1",175.865064663946,-15.693229751702
"22","1","1",-179.324935336054,-16.033229751702
"23","1","1",-179.334935336054,-16.043229751702
"24","1","1",-179.324935336054,-16.043229751702
"25","1","1",-179.314935336054,-16.043229751702
"26","1","1",-179.364935336054,-16.053229751702
"27","1","1",-179.354935336054,-16.053229751702
"28","1","1",-179.344935336054,-16.053229751702
"29","1","1",-179.314935336054,-16.053229751702
"30","1","1",-179.304935336054,-16.053229751702
"31","1","1",-179.294935336054,-16.053229751702
"32","1","1",-179.284935336054,-16.053229751702
"33","1","1",-179.274935336054,-16.053229751702
"34","1","1",-179.264935336054,-16.053229751702
"35","1","1",-179.254935336054,-16.063229751702
"36","1","1",-179.244935336054,-16.063229751702
"37","1","1",-179.234935336054,-16.063229751702
"38","1","1",-179.374935336054,-16.073229751702
"39","1","1",-179.224935336054,-16.073229751702
"40","1","1",-179.214935336054,-16.083229751702
"41","1","1",-179.174935336054,-16.083229751702
"42","1","1",-179.374935336054,-16.093229751702
"43","1","1",-179.204935336054,-16.093229751702
"44","1","1",-179.184935336054,-16.093229751702
"45","1","1",-179.174935336054,-16.093229751702
"46","1","1",-179.164935336054,-16.093229751702
"47","1","1",-179.154935336054,-16.093229751702
"48","1","1",-179.364935336054,-16.103229751702
"49","1","1",-179.174935336054,-16.103229751702
"50","1","1",-179.164935336054,-16.103229751702
"51","1","1",-179.184935336054,-16.113229751702
"52","1","1",-179.174935336054,-16.113229751702
"53","1","1",-179.264935336054,-16.123229751702
"54","1","1",-179.214935336054,-16.123229751702
"55","1","1",-179.334935336054,-16.133229751702
"56","1","1",-179.294935336054,-16.133229751702
"57","1","1",-179.284935336054,-16.133229751702
"58","1","1",-179.234935336054,-16.133229751702
"59","1","1",-179.224935336054,-16.133229751702
"60","1","1",-179.214935336054,-16.133229751702
"61","1","1",179.535064663946,-16.133229751702
"62","1","1",179.555064663946,-16.133229751702
"63","1","1",179.565064663946,-16.133229751702
"64","1","1",179.575064663946,-16.133229751702
"65","1","1",179.585064663946,-16.133229751702
"66","1","1",179.615064663946,-16.133229751702
"67","1","1",-179.954935336054,-16.143229751702
"68","1","1",179.655064663946,-16.143229751702
"69","1","1",179.725064663946,-16.143229751702
"70","1","1",179.775064663946,-16.143229751702
"71","1","1",179.785064663946,-16.143229751702
"72","1","1",179.805064663946,-16.143229751702
"73","1","1",179.825064663946,-16.143229751702
"74","1","1",179.975064663946,-16.143229751702
"75","1","1",179.985064663946,-16.143229751702
"76","1","1",179.685064663946,-16.153229751702
"77","1","1",179.705064663946,-16.153229751702
"78","1","1",179.745064663946,-16.153229751702
"79","1","1",179.765064663946,-16.153229751702
"80","1","1",179.825064663946,-16.153229751702
"81","1","1",179.595064663946,-16.163229751702
"82","1","1",179.745064663946,-16.163229751702
"83","1","1",179.815064663946,-16.163229751702
"84","1","1",179.935064663946,-16.163229751702
"85","1","1",179.585064663946,-16.173229751702
"86","1","1",179.605064663946,-16.173229751702
"87","1","1",179.615064663946,-16.173229751702
"88","1","1",179.645064663946,-16.173229751702
"89","1","1",179.695064663946,-16.173229751702
"90","1","1",179.735064663946,-16.173229751702
"91","1","1",179.855064663946,-16.173229751702
"92","1","1",179.915064663946,-16.173229751702
"93","1","1",179.925064663946,-16.173229751702
"94","1","1",179.055064663946,-16.183229751702
"95","1","1",179.065064663946,-16.183229751702
"96","1","1",179.105064663946,-16.183229751702
"97","1","1",179.445064663946,-16.183229751702
"98","1","1",179.565064663946,-16.183229751702
"99","1","1",179.575064663946,-16.183229751702
"100","1","1",179.655064663946,-16.183229751702
"101","1","1",179.715064663946,-16.183229751702
"102","1","1",179.725064663946,-16.183229751702
"103","1","1",179.735064663946,-16.183229751702
"104","1","1",179.785064663946,-16.183229751702
"105","1","1",179.885064663946,-16.183229751702
"106","1","1",179.895064663946,-16.183229751702
"107","1","1",179.965064663946,-16.183229751702
"108","1","1",179.055064663946,-16.193229751702
"109","1","1",179.105064663946,-16.193229751702
"110","1","1",179.435064663946,-16.193229751702
"111","1","1",179.445064663946,-16.193229751702
"112","1","1",179.455064663946,-16.193229751702
"113","1","1",179.465064663946,-16.193229751702
"114","1","1",179.555064663946,-16.193229751702
"115","1","1",179.565064663946,-16.193229751702
"116","1","1",179.605064663946,-16.193229751702
"117","1","1",179.625064663946,-16.193229751702
"118","1","1",179.695064663946,-16.193229751702
"119","1","1",179.745064663946,-16.193229751702
"120","1","1",179.775064663946,-16.193229751702
"121","1","1",179.785064663946,-16.193229751702
"122","1","1",179.795064663946,-16.193229751702
"123","1","1",179.955064663946,-16.193229751702
"124","1","1",179.965064663946,-16.193229751702
"125","1","1",179.975064663946,-16.193229751702
"126","1","1",179.045064663946,-16.203229751702
"127","1","1",179.415064663946,-16.203229751702
"128","1","1",179.685064663946,-16.203229751702
"129","1","1",179.735064663946,-16.203229751702
"130","1","1",179.745064663946,-16.203229751702
"131","1","1",179.755064663946,-16.203229751702
"132","1","1",179.775064663946,-16.203229751702
"133","1","1",179.865064663946,-16.203229751702
"134","1","1",179.945064663946,-16.203229751702
"135","1","1",179.955064663946,-16.203229751702
"136","1","1",179.115064663946,-16.213229751702
"137","1","1",179.405064663946,-16.213229751702
"138","1","1",179.485064663946,-16.213229751702
"139","1","1",179.595064663946,-16.213229751702
"140","1","1",179.615064663946,-16.213229751702
"141","1","1",179.645064663946,-16.213229751702
"142","1","1",179.675064663946,-16.213229751702
"143","1","1",179.785064663946,-16.213229751702
"144","1","1",179.925064663946,-16.213229751702
"145","1","1",179.035064663946,-16.223229751702
"146","1","1",179.405064663946,-16.223229751702
"147","1","1",179.835064663946,-16.223229751702
"148","1","1",179.915064663946,-16.223229751702
"149","1","1",179.125064663946,-16.233229751702
"150","1","1",179.365064663946,-16.233229751702
"151","1","1",179.405064663946,-16.233229751702
"152","1","1",179.535064663946,-16.233229751702
"153","1","1",179.595064663946,-16.233229751702
"154","1","1",179.615064663946,-16.233229751702
"155","1","1",179.835064663946,-16.233229751702
"156","1","1",179.905064663946,-16.233229751702
"157","1","1",179.045064663946,-16.243229751702
"158","1","1",179.125064663946,-16.243229751702
"159","1","1",179.365064663946,-16.243229751702
"160","1","1",179.375064663946,-16.243229751702
"161","1","1",179.385064663946,-16.243229751702
"162","1","1",179.395064663946,-16.243229751702
"163","1","1",179.455064663946,-16.243229751702
"164","1","1",179.605064663946,-16.243229751702
"165","1","1",179.045064663946,-16.253229751702
"166","1","1",179.125064663946,-16.253229751702
"167","1","1",179.445064663946,-16.253229751702
"168","1","1",179.875064663946,-16.253229751702
"169","1","1",179.885064663946,-16.253229751702
"170","1","1",179.155064663946,-16.263229751702
"171","1","1",179.165064663946,-16.263229751702
"172","1","1",179.195064663946,-16.263229751702
"173","1","1",179.205064663946,-16.263229751702
"174","1","1",179.215064663946,-16.263229751702
"175","1","1",179.335064663946,-16.263229751702
"176","1","1",179.345064663946,-16.263229751702
"177","1","1",179.865064663946,-16.263229751702
"178","1","1",179.045064663946,-16.273229751702
"179","1","1",179.225064663946,-16.273229751702
"180","1","1",179.315064663946,-16.273229751702
"181","1","1",179.325064663946,-16.273229751702
"182","1","1",179.415064663946,-16.273229751702
"183","1","1",179.425064663946,-16.273229751702
"184","1","1",179.505064663946,-16.273229751702
"185","1","1",179.865064663946,-16.273229751702
"186","1","1",179.045064663946,-16.283229751702
"187","1","1",179.305064663946,-16.283229751702
"188","1","1",179.375064663946,-16.283229751702
"189","1","1",179.385064663946,-16.283229751702
"190","1","1",179.395064663946,-16.283229751702
"191","1","1",179.405064663946,-16.283229751702
"192","1","1",179.505064663946,-16.283229751702
"193","1","1",179.865064663946,-16.283229751702
"194","1","1",-179.254935336054,-16.293229751702
"195","1","1",179.255064663946,-16.293229751702
"196","1","1",179.285064663946,-16.293229751702
"197","1","1",179.365064663946,-16.293229751702
"198","1","1",179.855064663946,-16.293229751702
"199","1","1",-179.354935336054,-16.303229751702
"200","1","1",-179.264935336054,-16.303229751702
"201","1","1",-179.244935336054,-16.303229751702
"202","1","1",179.335064663946,-16.303229751702
