"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","BO_bathymax","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_bathy_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","Dist_City","Protected_Areas"
1,178.375,-18.125,2381,34.6644554138184,9.84658432006836,11.1344327926636,1.28784811496735,0.160458326339722,238,0.340000003576279,0.0900000035762787,-83,2,-0.529999971389771,8819.06265810803,0
1,178.708333333333,-17.9583333333333,2289,35.1572380065918,24.6343727111816,29.0339660644531,4.3995943069458,0.318972021341324,1,0.0299999993294477,0.239999994635582,-15,6,0.170000001788139,32263.786755022,4.01042120848327
1,178.708333333333,-18.0416666666667,2337,35.4763069152832,14.9884996414185,16.4960021972656,1.50750350952148,0.159262642264366,19,0.109999999403954,0.639999985694885,-28,3,-0.209999993443489,28025.1767088793,1.91859129950393
1,179.625,-16.2083333333333,1292,35.1409339904785,25.674352645874,29.7566204071045,4.08226823806763,0.278789907693863,94,0.0199999995529652,-0.0500000007450581,-7,2,0.170000001788139,245763.047310075,4.03243001200541
1,179.708333333333,-16.2083333333333,1293,35.1198348999023,25.6748008728027,29.804931640625,4.13012981414795,0.292560756206512,232,0.0299999993294477,0.00999999977648258,-8,2,-0.270000010728836,250357.207607038,5
1,178.458333333333,-18.7916666666667,2766,34.4799842834473,3.59600257873535,3.78253626823425,0.186533600091934,0.168923571705818,5,0.490000009536743,-0.639999985694885,-204,9,0.209999993443489,73790.5405522981,4.80530256902887
1,177.541666666667,-18.2083333333333,2419,34.5172348022461,3.34215140342712,3.46354341506958,0.121392123401165,0.110068783164024,115,0.819999992847443,0.00999999977648258,-570,4,-0.959999978542328,97425.3068065049,0
1,178.541666666667,-18.875,2815,35.6417465209961,22.0949268341064,24.2283096313477,2.13338303565979,0.207596153020859,158,0.109999999403954,0.270000010728836,-39,3,-0.270000010728836,83479.8594399271,2.84639906362536
1,178.458333333333,-18.875,2814,35.0767860412598,13.5031785964966,14.9895219802856,1.48634350299835,0.327978670597076,243,0.239999994635582,-0.779999971389771,-78,4,0.379999995231628,83014.7118374255,2.27963478882005
1,177.208333333333,-17.7916666666667,2175,34.9274368286133,25.1847724914551,29.5223922729492,4.33762168884277,0.217677444219589,56,0.0299999993294477,0.230000004172325,-10,3,-0.0700000002980232,137455.284458058,5.35953992900055
1,177.708333333333,-18.2083333333333,2421,34.4870300292969,3.34056091308594,3.46287941932678,0.122318543493748,0.0335007049143314,284,1.14999997615814,-0.189999997615814,-521,2,-0.819999992847443,79887.83226234,0
1,178.041666666667,-17.375,1945,35.0493392944336,25.2698097229004,29.456392288208,4.18658304214478,0.120137631893158,366,0.0299999993294477,-0.300000011920929,-9,2,0.389999985694885,94037.0157885366,5
1,178.125,-18.2916666666667,2474,34.4313125610352,6.30885744094849,6.84293985366821,0.534082472324371,0.206126764416695,12,0.449999988079071,0.189999997615814,-128,4,-0.129999995231628,39793.8984601566,3.99641560624191
0,176.041666666667,-14.0416666666667,1,34.6688499450684,1.48885321617126,1.52803170681,0.0391784831881523,0.069205142557621,-2676,0.209999993443489,0.419999986886978,-2850,202,-0.259999990463257,520572.163938097,0
0,176.125,-14.0416666666667,2,34.6692199707031,1.49063229560852,1.52734696865082,0.036714680492878,0.0678884834051132,-2798,0.100000001490116,0.0900000035762787,-2884,197,0.300000011920929,516204.227662841,0
0,176.208333333333,-14.0416666666667,3,34.6695213317871,1.38549590110779,1.46944165229797,0.0839457586407661,0.0734417140483856,-2807,0.129999995231628,0.0500000007450581,-2907,193,0.579999983310699,511954.260195188,0
0,176.291666666667,-14.0416666666667,4,34.6695213317871,1.38394737243652,1.46568334102631,0.0817359760403633,0.0774143412709236,-2743,0.230000004172325,0.0599999986588955,-2947,189,0.910000026226044,507825.136540149,0
