"presence","x","y","cells","BO2_salinitymean_bdmax","BO2_tempmin_bdmax","BO2_tempmax_bdmax","BO2_temprange_bdmax","BO21_curvelmax_bdmax","BO_bathymax","MS_biogeo06_bathy_slope_5m","MS_biogeo01_aspect_EW_5m","MS_bathy_5m","MS_biogeo05_dist_shore_5m","MS_biogeo02_aspect_NS_5m","Protected_Areas"
0,148.708333333333,-18.9583333333333,5169,35.554141998291,18.3561820983887,19.9885063171387,1.63232529163361,0.17874214053154,-44,0.119999997317791,0.300000011920929,-114,117,0.870000004768372,3.42199905162062
0,148.791666666667,-18.9583333333333,5170,35.5557518005371,16.6625995635986,18.137523651123,1.4749231338501,0.195433393120766,-59,0.119999997317791,0.349999994039536,-182,120,0.930000007152557,3.42199905162062
0,148.875,-18.9583333333333,5171,35.395435333252,15.6347599029541,17.1678104400635,1.53305077552795,0.187957435846329,-152,0.0900000035762787,0.319999992847443,-237,121,0.939999997615814,4.46162858582628
0,148.958333333333,-18.9583333333333,5172,35.2281646728516,14.3322916030884,16.0357990264893,1.70350849628448,0.195866733789444,-224,0.0900000035762787,0.409999996423721,-289,121,0.899999976158142,4.06257969064753
0,149.041666666667,-18.9583333333333,5173,35.086124420166,12.7109184265137,14.7675361633301,2.05661749839783,0.192468091845512,-259,0.0700000002980232,0.0399999991059303,-324,122,0.949999988079071,3.57800094837938
0,149.125,-18.9583333333333,5174,35.0892639160156,11.1857261657715,13.24303150177,2.05730581283569,0.179017186164856,-292,0.0500000007450581,0.209999993443489,-336,124,0.920000016689301,3.57800094837938
0,149.208333333333,-18.9583333333333,5175,34.7568511962891,9.80226039886475,11.6589984893799,1.85673773288727,0.192622601985931,-301,0.129999995231628,0.239999994635582,-362,126,0.889999985694885,2.5358456023315
0,149.291666666667,-18.9583333333333,5176,34.7596206665039,9.73511505126953,11.6145296096802,1.87941372394562,0.19305032491684,-348,0.0599999986588955,0.370000004768372,-433,128,0.889999985694885,2
0,149.375,-18.9583333333333,5177,34.7610130310059,7.50403118133545,8.65851402282715,1.15448248386383,0.211979925632477,-419,0.0599999986588955,0.400000005960464,-467,131,0.899999976158142,2
0,149.458333333333,-18.9583333333333,5178,34.5515556335449,7.50746726989746,8.66243743896484,1.15497040748596,0.223304718732834,-439,0.0700000002980232,0.100000001490116,-505,135,0.970000028610229,2
0,149.541666666667,-18.9583333333333,5179,34.7685050964355,8.59281444549561,10.0322046279907,1.43938970565796,0.18344010412693,-458,0.0399999991059303,-0.219999998807907,-501,139,0.699999988079071,2
0,149.625,-18.9583333333333,5180,34.7696266174316,8.60103225708008,10.0458793640137,1.4448469877243,0.178684994578362,-469,0.0299999993294477,0.219999998807907,-495,143,-0.270000010728836,2.6279816848033
0,149.708333333333,-18.9583333333333,5181,34.5528259277344,7.52426528930664,8.67884159088135,1.15457630157471,0.240167289972305,-499,0.0399999991059303,0.490000009536743,-518,148,0.660000026226044,2.94799936774708
0,149.791666666667,-18.9583333333333,5182,34.5541763305664,7.5418643951416,8.68052291870117,1.13865876197815,0.234572395682335,-514,0.0599999986588955,0.230000004172325,-547,154,0.959999978542328,3.64571637892791
